title,meal_block,description,calories_estimate,goal_tags,fitness_level_min,fitness_level_max,nova_max,foods
Calentado con huevo pericos,desayuno,"Arroz, frijoles y huevos pericos con tomate y cebolla",470,general_health|muscle_gain,1,5,2,"Arroz, tipo 1, cocido|Frijol, carioca, cocido|Huevo, de gallina, entero, crudo|Tomate, con semilla, crudo"
Casado costeño con huevo,desayuno,"Arroz con coco, frijol y huevo frito al estilo costeño",500,general_health,1,4,2,"Arroz, tipo 1, cocido|Frijol, carioca, cocido|Huevo, de gallina, entero, frito|Leche, de coco"
Casado vallecaucano,desayuno,"Arroz, lentejas guisadas, plátano maduro y huevo",510,general_health,1,5,2,"Arroz, tipo 1, cocido|Lenteja, cocida|Banano, de la terra, cruda|Huevo, de gallina, entero, frito"
Calentado liviano con claras,desayuno,Calentado bajo en grasa con claras de huevo y arroz integral,380,fat_loss,3,5,2,"Arroz, integral, cocido|Frijol, carioca, cocido|Huevo, de gallina, clara, cocida/10minutos"
Bandeja paisa de desayuno,desayuno,"Versión liviana con frijol, arroz, huevo y trozo de carne",600,muscle_gain,3,5,3,"Arroz, tipo 1, cocido|Frijol, carioca, cocido|Huevo, de gallina, entero, frito|Carne, bovina, Aguja de res, molido, cocido"
Frijoles con huevo y arepa,desayuno,Frijoles paisa cremosos con huevo frito y arepa,480,general_health|muscle_gain,1,5,2,"Frijol, carioca, cocido|Huevo, de gallina, entero, frito"
Calentado santandereano,desayuno,"Arroz con lenteja, huevo y arepa santandereana",520,general_health|muscle_gain,1,4,2,"Arroz, tipo 1, cocido|Lenteja, cocida|Huevo, de gallina, entero, crudo"
Huevos pericos con tomate,desayuno,"Huevos revueltos con tomate y cebolla, estilo paisa",280,general_health|muscle_gain,1,5,2,"Huevo, de gallina, entero, crudo|Tomate, con semilla, crudo|Cebolla, cruda"
Huevos revueltos con espinaca,desayuno,Tres huevos revueltos con espinaca salteada,320,general_health|muscle_gain,1,5,2,"Huevo, de gallina, entero, crudo|Espinaca, Nova Zelândia, salteado"
Huevos revueltos con cebolla larga,desayuno,Huevos revueltos con cebolla larga y un toque de mantequilla,290,general_health,1,5,2,"Huevo, de gallina, entero, crudo|Cebolla, cruda|Mantequilla, sin sal"
Omelet de queso y tomate,desayuno,Omelet con queso mozzarella y tomate cherry,340,general_health|muscle_gain,1,5,2,"Huevo, de gallina, entero, crudo|Queso, mozarela|Tomate, con semilla, crudo"
Omelet de jamón y queso,desayuno,Omelet relleno de jamón pavo y queso fundido,380,general_health|muscle_gain,1,5,3,"Huevo, de gallina, entero, crudo|Queso, mozarela"
Omelet de champiñones,desayuno,Omelet con champiñones salteados y queso,320,general_health|fat_loss,2,5,2,"Huevo, de gallina, entero, crudo|Queso, mozarela"
Omelet de espinaca y queso ricota,desayuno,Omelet relleno de espinaca y queso ricota,310,general_health|fat_loss,2,5,2,"Huevo, de gallina, entero, crudo|Espinaca, Nova Zelândia, salteado|Queso, ricota"
Omelet vegetariano completo,desayuno,"Omelet con pimentón, cebolla, tomate y queso",360,general_health,1,5,2,"Huevo, de gallina, entero, crudo|Pimiento, vermelho, crudo|Cebolla, cruda|Tomate, con semilla, crudo"
Huevos tibios con tostadas,desayuno,Dos huevos tibios servidos con pan integral tostado,310,general_health,1,5,2,"Huevo, de gallina, entero, cocido/10minutos|Pan, Trigo, forma, integral"
Huevos pochados sobre arepa,desayuno,Dos huevos pochados sobre arepa con sal en escamas,320,general_health|muscle_gain,2,5,2,"Huevo, de gallina, entero, crudo"
Huevos cocidos con aguacate,desayuno,Dos huevos duros picados con aguacate y limón,330,general_health|fat_loss,1,5,2,"Huevo, de gallina, entero, cocido/10minutos|Aguacate, crudo"
Claras revueltas con vegetales,desayuno,"Cuatro claras de huevo con espinaca, tomate y cebolla",180,fat_loss,2,5,2,"Huevo, de gallina, clara, cocida/10minutos|Espinaca, Nova Zelândia, salteado|Tomate, con semilla, crudo|Cebolla, cruda"
Claras con jamón pavo y tostada,desayuno,Tres claras revueltas con jamón pavo y pan integral,220,fat_loss|muscle_gain,3,5,3,"Huevo, de gallina, clara, cocida/10minutos|Pan, Trigo, forma, integral"
Huevos rancheros colombianos,desayuno,Huevos fritos sobre arepa con salsa de tomate y frijol,480,general_health|muscle_gain,1,4,2,"Huevo, de gallina, entero, frito|Tomate, con semilla, crudo|Frijol, carioca, cocido"
Huevos al horno con queso,desayuno,Huevos horneados en cocotte con queso y tomate,350,general_health|muscle_gain,2,5,2,"Huevo, de gallina, entero, crudo|Queso, mozarela|Tomate, con semilla, crudo"
Huevos a la mexicana,desayuno,"Huevos revueltos con tomate, cebolla y pimiento verde picante",310,general_health|muscle_gain,1,5,2,"Huevo, de gallina, entero, crudo|Tomate, con semilla, crudo|Cebolla, cruda|Pimiento, verde, crudo"
Tortilla española colombiana,desayuno,"Tortilla de huevo con papa y cebolla, porción individual",380,general_health,1,5,2,"Huevo, de gallina, entero, crudo|Papa, baroa, cocida|Cebolla, cruda"
Huevos con chorizo desmenuzado,desayuno,Huevos revueltos con chorizo paisa desmenuzado,440,general_health|muscle_gain,1,4,3,"Huevo, de gallina, entero, crudo"
Huevos benedictinos arepa,desayuno,Arepa con huevo pochado y salsa holandesa ligera,410,general_health,2,5,3,"Huevo, de gallina, entero, crudo"
Huevos al ajillo,desayuno,Huevos fritos con láminas de ajo y aceite de oliva,320,general_health,1,5,2,"Huevo, de gallina, entero, frito|Ajo, crudo|Aceite de oliva, de oliva, extra virgen"
Huevos con plátano maduro,desayuno,Huevos revueltos con tajadas de plátano maduro asado,420,general_health|muscle_gain,1,4,2,"Huevo, de gallina, entero, crudo|Banano, de la terra, cruda"
Huevos con frijol negro,desayuno,Huevos fritos sobre frijoles negros con tortilla,460,general_health|muscle_gain,1,4,2,"Huevo, de gallina, entero, frito|Frijol, preto, cocido"
Tostadas francesas con huevo,desayuno,"Pan empapado en huevo y leche, dorado en sartén",360,general_health,1,5,2,"Huevo, de gallina, entero, crudo|Leche, de vaca, integral|Pan, Trigo, francês"
Huevos al curry colombiano,desayuno,Huevos cocidos en salsa de curry suave con leche de coco,340,general_health,2,5,2,"Huevo, de gallina, entero, cocido/10minutos|Leche, de coco"
Huevos motuleños,desayuno,Huevos fritos sobre tortilla con frijol y plátano,470,general_health|muscle_gain,1,4,3,"Huevo, de gallina, entero, frito|Frijol, carioca, cocido|Banano, de la terra, cruda"
Tostadas con aguacate y huevo,desayuno,Pan integral con aguacate machacado y huevo pochado,380,general_health|fat_loss,1,5,2,"Pan, Trigo, forma, integral|Aguacate, crudo|Huevo, de gallina, entero, crudo"
Tostadas con queso y tomate,desayuno,Pan integral tostado con queso fresco y tomate,290,general_health|fat_loss,1,5,2,"Pan, Trigo, forma, integral|Queso, minas, meia cura|Tomate, con semilla, crudo"
Tostadas con atún,desayuno,"Pan integral con atún en agua, cebolla y limón",320,fat_loss|muscle_gain,2,5,3,"Pan, Trigo, forma, integral|Atún, conserva en Aceite vegetal|Cebolla, cruda"
Tostadas con mermelada de fresa,desayuno,Pan integral con mermelada casera de fresa sin azúcar,240,general_health,1,5,2,"Pan, Trigo, forma, integral|Fresa, crudo"
Tostadas con mantequilla de maní y banano,desayuno,Pan integral con maní triturado y rodajas de banano,350,general_health|muscle_gain,1,5,3,"Pan, Trigo, forma, integral|Maní, tostado, salado|Banano, Manzana, cruda"
Tostadas con requesón y miel,desayuno,Pan integral con queso requesón y un hilo de miel,310,general_health,1,5,2,"Pan, Trigo, forma, integral|Queso, Requesón, cremoso"
Tostadas con hummus casero,desayuno,Pan integral con hummus de garbanzo y aceite de oliva,320,general_health|fat_loss,2,5,2,"Pan, Trigo, forma, integral|Garbanzo, crudo|Aceite de oliva, de oliva, extra virgen"
Tostadas con salmón ahumado,desayuno,Pan integral con salmón a la plancha y aguacate,380,fat_loss|muscle_gain,3,5,2,"Pan, Trigo, forma, integral|Salmón, sin piel, fresco, a la plancha|Aguacate, crudo"
Tostadas de centeno con queso,desayuno,Pan de centeno con queso fresco y tomate cherry,280,general_health|fat_loss,2,5,2,"Queso, minas, meia cura|Tomate, con semilla, crudo"
Tostadas con sardinas,desayuno,"Pan integral con sardinas, cebolla morada y limón",350,general_health|muscle_gain,2,5,3,"Pan, Trigo, forma, integral|Sardina, conserva en Aceite vegetal|Cebolla, cruda"
Tostadas con champiñones al ajillo,desayuno,Pan integral con champiñones salteados y ajo,270,general_health|fat_loss,1,5,2,"Pan, Trigo, forma, integral|Ajo, crudo"
Tostadas con tomate y aceite de oliva,desayuno,Pan de pueblo con tomate rallado y aceite de oliva,250,general_health|fat_loss,1,5,2,"Pan, Trigo, forma, integral|Tomate, con semilla, crudo|Aceite de oliva, de oliva, extra virgen"
Tostadas con clara de huevo y queso,desayuno,Pan integral con claras revueltas y queso bajo en grasa,280,fat_loss|muscle_gain,3,5,2,"Pan, Trigo, forma, integral|Huevo, de gallina, clara, cocida/10minutos|Queso, minas, meia cura"
Tostadas con plátano y canela,desayuno,Pan integral con plátano maduro y canela,290,general_health,1,5,2,"Pan, Trigo, forma, integral|Banano, de la terra, cruda"
Tostadas francesas con frutos rojos,desayuno,Pan dorado en huevo y leche con fresas frescas,360,general_health,1,5,2,"Pan, Trigo, francês|Huevo, de gallina, entero, crudo|Leche, de vaca, integral|Fresa, crudo"
Avena con leche y banano,desayuno,Avena cocida en leche con rodajas de banano,350,general_health|fat_loss,1,5,2,"Avena, hojuelas, cruda|Leche, de vaca, integral|Banano, Manzana, cruda"
Avena con manzana y canela,desayuno,Avena cocida con manzana picada y canela,320,general_health|fat_loss,1,5,2,"Avena, hojuelas, cruda|Manzana, Fuji, con casca, cruda"
Avena con fresas y miel,desayuno,Avena en leche con fresas frescas y un toque de miel,340,general_health,1,5,2,"Avena, hojuelas, cruda|Leche, de vaca, integral|Fresa, crudo"
Avena con maní y banano,desayuno,Avena con mantequilla de maní casera y banano,410,general_health|muscle_gain,1,5,3,"Avena, hojuelas, cruda|Leche, de vaca, integral|Maní, tostado, salado|Banano, Manzana, cruda"
Avena con proteína y frutos rojos,desayuno,Avena cocida con proteína en polvo y fresas,320,fat_loss|muscle_gain,3,5,3,"Avena, hojuelas, cruda|Fresa, crudo"
Avena fría con cacao,desayuno,Overnight oats con cacao y leche descremada,280,general_health|fat_loss,2,5,3,"Avena, hojuelas, cruda|Leche, de vaca, desnatado, UHT"
Avena con coco y mango,desayuno,Avena cocida con leche de coco y mango fresco,360,general_health,1,5,2,"Avena, hojuelas, cruda|Leche, de coco|Mango, Tommy Atkins, cruda"
Avena con marañón y banano,desayuno,Avena con castañas de marañón y banano laminado,380,general_health|muscle_gain,1,5,2,"Avena, hojuelas, cruda|castaña-de-Marañón, tostada, salada|Banano, Manzana, cruda"
Cereal integral con leche y fruta,desayuno,Cereal de avena integral con leche y banano,320,general_health,1,5,3,"Avena, hojuelas, cruda|Leche, de vaca, integral|Banano, Manzana, cruda"
Avena con yogur y granola,desayuno,Avena cocida fría servida con yogur y granola,330,general_health|fat_loss,1,5,2,"Avena, hojuelas, cruda|Yogur, natural"
Avena con kiwi y semillas,desayuno,Avena en leche con kiwi laminado y semillas de chía,290,general_health|fat_loss,1,5,2,"Avena, hojuelas, cruda|Leche, de vaca, integral|Kiwi, crudo"
Avena con papaya y miel,desayuno,Avena cocida con papaya fresca y miel de abejas,310,general_health,1,5,2,"Avena, hojuelas, cruda|Papaya, Formosa, crudo"
Avena con piña y coco,desayuno,Avena tropical con piña fresca y coco rallado,320,general_health,1,5,2,"Avena, hojuelas, cruda|Piña, crudo|Coco, crudo"
Crema de arroz con canela,desayuno,Crema de arroz cocida con leche y canela,280,general_health,1,5,2,"Arroz, tipo 1, cocido|Leche, de vaca, integral"
Avena cocida con guayaba,desayuno,Avena en leche con trozos de guayaba fresca,300,general_health,1,5,2,"Avena, hojuelas, cruda|Leche, de vaca, integral|Guayaba, vermelha, con casca, cruda"
Batido de mango con avena,desayuno,Smoothie de mango maduro con avena y leche,280,general_health|fat_loss,1,5,2,"Mango, Tommy Atkins, cruda|Avena, hojuelas, cruda|Leche, de vaca, integral"
Batido de banano y maní,desayuno,Batido de banano con leche y mantequilla de maní,400,general_health|muscle_gain,1,5,3,"Banano, Manzana, cruda|Leche, de vaca, integral|Maní, tostado, salado"
Batido de fresa con leche,desayuno,Licuado de fresas con leche y sin azúcar añadida,220,general_health|fat_loss,1,5,2,"Fresa, crudo|Leche, de vaca, integral"
Batido tropical,desayuno,"Mango, piña y maracuyá licuados con agua",180,general_health|fat_loss,1,5,2,"Mango, Tommy Atkins, cruda|Piña, crudo|Maracuyá, crudo"
Smoothie verde detox,desayuno,"Espinaca, manzana, apio y limón licuados con agua",150,fat_loss,1,5,1,"Espinaca, Nova Zelândia, crudo|Manzana, Fuji, con casca, cruda|Apio, crudo"
Batido de proteína con banano,desayuno,Shake de proteína de suero con banano y leche,320,fat_loss|muscle_gain,3,5,3,"Leche, de vaca, integral|Banano, Manzana, cruda"
Smoothie de papaya con yogur,desayuno,Papaya fresca licuada con yogur natural,200,general_health|fat_loss,1,5,2,"Papaya, Formosa, crudo|Yogur, natural"
Batido de mora con leche,desayuno,Moras frescas licuadas con leche y un toque de panela,240,general_health,1,5,2,"Leche, de vaca, integral"
Batido de guanábana,desayuno,Pulpa de guanábana licuada con leche descremada,220,general_health|fat_loss,1,5,2,"Guanábana, cruda|Leche, de vaca, desnatado, UHT"
Smoothie de kiwi y manzana,desayuno,"Kiwi, manzana verde y limón licuados con agua",160,fat_loss,1,5,1,"Kiwi, crudo|Manzana, Fuji, con casca, cruda"
Batido de naranja y zanahoria,desayuno,Jugo de naranja con zanahoria fresca licuada,170,general_health|fat_loss,1,5,1,"Naranja, Pera, cruda|Zanahoria, cruda"
Smoothie de avena y cacao,desayuno,"Avena, banano, cacao y leche descremada licuados",290,general_health|fat_loss,1,5,3,"Avena, hojuelas, cruda|Banano, Manzana, cruda|Leche, de vaca, desnatado, UHT"
Batido proteico de frutos rojos,desayuno,"Proteína, fresa, mora y leche descremada",280,fat_loss|muscle_gain,3,5,3,"Fresa, crudo|Leche, de vaca, desnatado, UHT"
Smoothie de mango y coco,desayuno,Mango maduro licuado con leche de coco y hielo,250,general_health,1,5,2,"Mango, Tommy Atkins, cruda|Leche, de coco"
Batido de banano con espinaca,desayuno,"Banano, espinaca, leche y avena para post entreno",310,general_health|muscle_gain,2,5,2,"Banano, Manzana, cruda|Espinaca, Nova Zelândia, crudo|Leche, de vaca, integral|Avena, hojuelas, cruda"
Yogur natural con granola,desayuno,Yogur natural con granola casera y fresas,280,general_health|fat_loss,1,5,2,"Yogur, natural|Fresa, crudo"
Yogur griego con mango,desayuno,Yogur griego sin azúcar con trozos de mango,240,general_health|fat_loss,1,5,2,"Yogur, natural|Mango, Tommy Atkins, cruda"
Yogur con frutos secos,desayuno,"Yogur con mix de marañón, almendras y pasas",320,general_health|muscle_gain,2,5,2,"Yogur, natural|castaña-de-Marañón, tostada, salada"
Yogur con avena y miel,desayuno,Yogur natural con avena cruda y miel de abejas,290,general_health,1,5,2,"Yogur, natural|Avena, hojuelas, cruda"
Yogur con papaya y semillas,desayuno,Yogur con papaya fresca y semillas de chía,220,general_health|fat_loss,1,5,2,"Yogur, natural|Papaya, Formosa, crudo"
Yogur descremado con fresa,desayuno,"Yogur descremado con fresas frescas, opción ligera",160,fat_loss,1,5,2,"Yogur, natural, desnatado|Fresa, crudo"
Yogur con piña y coco,desayuno,Yogur tropical con piña fresca y coco rallado,250,general_health,1,5,2,"Yogur, natural|Piña, crudo|Coco, crudo"
Yogur con guayaba y miel,desayuno,Yogur natural con guayaba madura y miel,230,general_health,1,5,2,"Yogur, natural|Guayaba, vermelha, con casca, cruda"
Bowl de yogur con kiwi,desayuno,"Bowl de yogur griego con kiwi, manzana y granola",300,general_health|fat_loss,1,5,2,"Yogur, natural|Kiwi, crudo|Manzana, Fuji, con casca, cruda"
Yogur con maní y banano,desayuno,Yogur natural con maní triturado y banano,320,general_health|muscle_gain,1,5,3,"Yogur, natural|Maní, tostado, salado|Banano, Manzana, cruda"
Tamal tolimense,desayuno,"Tamal tradicional con masa de maíz, pollo y cerdo",490,general_health,1,3,3,"Pollo, Pechuga, con piel, asado|Maíz, verde, crudo"
Tamal valluno,desayuno,"Tamal del Valle con achiote, pollo y zanahoria",470,general_health,1,3,3,"Pollo, Pechuga, con piel, asado|Zanahoria, cocida"
Tamal santafereño,desayuno,"Tamal bogotano con carne, pollo y arveja",510,general_health|muscle_gain,1,3,3,"Pollo, Pechuga, con piel, asado|Carne, bovina, contra-filé, con gordura, a la plancha|Arveja, enlatada, escurrida"
Tamal costeño con bollo,desayuno,Tamal caribeño servido con bollo de mazorca,530,general_health,1,3,3,"Maíz, verde, crudo"
Empanada de carne,desayuno,Empanada de maíz rellena con carne molida guisada,280,general_health,1,4,3,"Carne, bovina, Aguja de res, molido, cocido"
Empanada de pollo,desayuno,Empanada con pollo desmenuzado guisado,270,general_health,1,4,3,"Pollo, Pechuga, sin piel, cocido"
Empanada de queso,desayuno,Empanada con queso costeño derretido,290,general_health,1,4,3,"Queso, minas, meia cura"
Empanada de papa y carne,desayuno,Empanada tradicional con papa y carne picada,320,general_health,1,4,3,"Papa, baroa, cocida|Carne, bovina, Aguja de res, molido, cocido"
Pastel de pollo,desayuno,Pastel hojaldrado de pollo desmenuzado,360,general_health,1,4,3,"Pollo, Pechuga, sin piel, cocido"
Pastel de yuca con queso,desayuno,Pastel relleno de yuca y queso campesino,340,general_health,1,4,2,"Yuca/mandioca, cocida|Queso, minas, meia cura"
Hojaldras con queso,desayuno,Hojaldras dulces con queso fresco,380,general_health,1,4,3,"Queso, minas, meia cura"
Empanada de pipián,desayuno,Empanada caucana rellena de papa y maní,310,general_health,1,4,3,"Papa, baroa, cocida|Maní, tostado, salado"
Buñuelos paisas,desayuno,"Buñuelos fritos de queso y harina, típicos de diciembre",320,general_health,1,3,3,"Queso, minas, meia cura"
Almojábanas con café,desayuno,Almojábanas de queso recién horneadas,280,general_health,1,5,3,"Queso, minas, meia cura"
Empanadas de cambray,desayuno,"Empanadas dulces rellenas de queso, típicas valluna",300,general_health,1,4,3,"Queso, minas, meia cura"
Changua con huevo,desayuno,"Caldo bogotano de leche con cebolla, cilantro y huevo pochado",290,general_health,1,5,2,"Leche, de vaca, integral|Cebolla, cruda|Huevo, de gallina, entero, crudo"
Caldo de costilla con papa,desayuno,Caldo paisa con costilla de res y papa criolla,280,general_health,1,5,2,"Papa, baroa, cocida"
Caldo de pajarilla,desayuno,Caldo bogotano con vísceras de res y papa,310,general_health,1,5,2,"Papa, baroa, cocida"
Caldo de papa con huevo,desayuno,Caldo ligero de papa con cilantro y huevo pochado,240,general_health|fat_loss,1,5,2,"Papa, baroa, cocida|Huevo, de gallina, entero, crudo"
Caldo de pescado bogotano,desayuno,Caldo de pescado con papa y cilantro al estilo andino,290,general_health|fat_loss,1,5,2,"Merluza, filete, asado|Papa, baroa, cocida"
Caldo de pollo con cilantro,desayuno,Caldo casero de pollo con papa y cilantro fresco,270,general_health,1,5,2,"Pollo, Pechuga, sin piel, cocido|Papa, baroa, cocida"
Caldo de huesos con verduras,desayuno,"Caldo de huesos de res con zanahoria, apio y cebolla",260,general_health|fat_loss,1,5,2,"Zanahoria, cocida|Apio, crudo|Cebolla, cruda"
Mute santandereano matutino,desayuno,"Sopa contundente con mazorca, garbanzo y carne",510,general_health|muscle_gain,1,3,3,"Maíz, verde, crudo|Garbanzo, crudo"
Caldo verde con espinaca,desayuno,Caldo de pollo con espinaca picada y papa,250,general_health|fat_loss,1,5,2,"Pollo, Pechuga, sin piel, cocido|Espinaca, Nova Zelândia, salteado|Papa, baroa, cocida"
Sancochito de costilla,desayuno,Sancocho pequeño de costilla con papa y yuca,380,general_health,1,5,2,"Papa, baroa, cocida|Yuca/mandioca, cocida"
Bowl proteico de desayuno,desayuno,"Yogur, proteína, granola, maní y fresas",440,fat_loss|muscle_gain,3,5,3,"Yogur, natural|Maní, tostado, salado|Fresa, crudo"
Bowl de avena tropical,desayuno,"Avena cocida con mango, piña y coco",380,general_health,1,5,2,"Avena, hojuelas, cruda|Mango, Tommy Atkins, cruda|Piña, crudo|Coco, crudo"
Bowl verde matutino,desayuno,"Smoothie bowl de espinaca, banano, leche y granola",360,general_health|fat_loss,2,5,2,"Espinaca, Nova Zelândia, crudo|Banano, Manzana, cruda|Leche, de vaca, integral"
Bowl de quinua y frutos rojos,desayuno,"Quinua cocida con leche, fresas y miel",340,general_health|fat_loss,1,5,2,"Leche, de vaca, integral|Fresa, crudo"
Bowl de yogur y granola,desayuno,Yogur griego con granola casera y banano,320,general_health|fat_loss,1,5,2,"Yogur, natural|Banano, Manzana, cruda"
Bowl acai colombiano,desayuno,"Pulpa de frutas con granola, banano y coco",340,general_health,1,5,2,"Banano, Manzana, cruda|Coco, crudo"
Bowl de huevo y palta,desayuno,"Bowl con huevos pochados, aguacate y tomate",380,general_health|muscle_gain,2,5,2,"Huevo, de gallina, entero, crudo|Aguacate, crudo|Tomate, con semilla, crudo"
Bowl de arroz integral matutino,desayuno,"Arroz integral con huevo, aguacate y semillas",420,general_health|muscle_gain,2,5,2,"Arroz, integral, cocido|Huevo, de gallina, entero, crudo|Aguacate, crudo"
Bowl de chía y frutas,desayuno,"Pudín de chía con leche, mango y kiwi",280,general_health|fat_loss,1,5,2,"Leche, de vaca, integral|Mango, Tommy Atkins, cruda|Kiwi, crudo"
Bowl de banano y maní,desayuno,"Yogur con banano, maní triturado y avena",380,general_health|muscle_gain,1,5,3,"Yogur, natural|Banano, Manzana, cruda|Maní, tostado, salado|Avena, hojuelas, cruda"
Bowl proteico salado,desayuno,"Quinua con clara de huevo, aguacate y espinaca",350,fat_loss|muscle_gain,3,5,2,"Huevo, de gallina, clara, cocida/10minutos|Aguacate, crudo|Espinaca, Nova Zelândia, crudo"
Bowl de frutos secos y leche,desayuno,"Leche tibia con marañón, almendras y banano",360,general_health|muscle_gain,1,5,2,"Leche, de vaca, integral|castaña-de-Marañón, tostada, salada|Banano, Manzana, cruda"
Bowl tropical de papaya,desayuno,"Papaya rellena con yogur, granola y miel",280,general_health|fat_loss,1,5,2,"Papaya, Formosa, crudo|Yogur, natural"
Bowl de coco y mango,desayuno,"Avena con leche de coco, mango y coco rallado",340,general_health,1,5,2,"Avena, hojuelas, cruda|Leche, de coco|Mango, Tommy Atkins, cruda|Coco, crudo"
Bowl ranchero,desayuno,"Frijol negro, huevo, aguacate y arroz para empezar el día",480,general_health|muscle_gain,2,5,2,"Frijol, preto, cocido|Huevo, de gallina, entero, crudo|Aguacate, crudo|Arroz, tipo 1, cocido"
Pandebono con café,desayuno,Pandebono recién horneado con café tinto,280,general_health,1,5,3,"Queso, minas, meia cura"
Pandequeso con chocolate,desayuno,Pandequeso valluno con bebida de chocolate,320,general_health,1,5,3,"Queso, minas, meia cura"
Almojábana boyacense,desayuno,Almojábana tradicional con queso campesino,260,general_health,1,5,3,"Queso, minas, meia cura"
Roscón con arequipe,desayuno,Roscón con arequipe y café tinto,360,general_health,1,3,4,
